foreignType,country,city,stdPostal,stdState,stdName,salesforceMatchString,foreignIdentifierString,outdated,street,custom3,custom4,custom1,state,custom2,custom5,custom6,identifier,website,stdStreet,stdCity,basicDealerId,phone,stdCountry,name,postal,projectIdentifier,stdPhone
null,United States,Greenville,29607,SC,null,"Address Match : 001j000000Nmi90AAB
Phone Match : 001j000000Nmi90AAB
Website Match : 001j000000Nmi90AAB",null,false,1431 Laurens Rd,null,null,"1431 Laurens Rd
Greenville, SC 29607",SC,null,null,null,null,http://www.touringsport.com/,1431 laurens road,null,1143,+1 (864) 232-2269,United States,Touring Sport BMW,29607,finished,8642322269
null,United States,Walnut Creek,94596,CA,null,"Phone Match : 001f100001A9pNQAAZ
Website Match : 001f100001A9pNQAAZ",null,false,1255 Parkside Dr,null,null,"1255 Parkside Dr
Walnut Creek, CA 94596",CA,null,null,null,null,http://www.bmwmcwalnutcreek.com/,1255 parkside dr,null,1185,+1 (925) 938-8373,United States,BMW Motorcycles of Walnut Creek,94596,finished,9259388373
null,United States,Santa Fe,87507,NM,null,"Phone Match : 001j000000NmMrlAAF
Website Match : 001j000000NmMrlAAF",null,false,2544 Camino Edward Ortiz,null,null,"2544 Camino Edward Ortiz
Santa Fe, NM 87507",NM,null,null,null,null,http://www.santafebmw.com/,2544 camino edward ortiz,null,1163,+1 (505) 474-0066,United States,Santa Fe BMW Motorcycles,87507,finished,5054740066
null,United States,Lititz,17543,PA,null,"Address Match : 001j000000zn9E0AAI
Phone Match : 001j000000zn9E0AAI",null,false,933 Lititz Pike,null,null,"933 Lititz Pike
Lititz, PA 17543",PA,null,null,null,null,http://www.bmwmotorcyclesoflititz.com/,933 lititz pike,null,1260,+1 (717) 626-7433,United States,BMW Motorcycles of Lititz,17543,finished,7176267433
null,United States,Albuquerque,87109,NM,null,"Phone Match : 001j000000NmWhxAAF
Website Match : 001j000000NmWhxAAF",null,false,6001 Pan American Fwy NE,null,null,"6001 Pan American Fwy NE
Albuquerque, NM 87109",NM,null,null,null,null,http://www.sandiabmw.com/,6001 pan american fwy ne,null,1161,+1 (505) 884-0066,United States,Sandia BMW Motorcycles,87109,finished,5058840066
null,United States,Fairbanks,99709,AK,null,"Address Match : 001j0000016zt4IAAQ
Phone Match : 001j0000016zt4IAAQ
Website Match : 001j0000016zt4IAAQ",null,false,1450 Karen Way,null,null,"1450 Karen Way
Fairbanks, AK 99709",AK,null,null,null,null,http://www.outpostalaska.com/,1450 karen way,null,1877,+1 (907) 456-3265,United States,Trail's End BMW,99709,finished,9074563265
null,United States,Sandy,84070,UT,null,"Address Match : 001j000000NmhjEAAR
Phone Match : 001j000000NmhjEAAR
Website Match : 001j000000NmhjEAAR",null,false,339 W 9000 S,null,null,"339 W 9000 S
Sandy, UT 84070",UT,null,null,null,null,http://www.bmwmotorcyclesofutah.com/,339 west 9000 south,null,1215,+1 (801) 618-2700,United States,BMW Motorcycles of Utah,84070,finished,8016182700
null,United States,McDonough,30253,GA,null,Address Match : 001j000000zmGwNAAU,null,false,755 Industrial Blvd,null,null,"755 Industrial Blvd
McDonough, GA 30253",GA,null,null,null,null,http://www.bmwmotorcyclesmcdonough.com/,755 industrial boulevard,null,1137,+1 (770) 957-7404,United States,BMW Motorcycles of McDonough,30253,finished,7709577404
null,United States,Chandler,85286,AZ,null,Address Match : 001j000000zmWgUAAU,null,false,2677 E Willis Rd,null,null,"2677 E Willis Rd
Chandler, AZ 85286",AZ,null,null,null,null,http://www.ridenoweuro.com/,2677 east willis road,null,1158,+1 (480) 898-0559,United States,Victory BMW,85286,finished,4808980559
null,United States,Jessup,20794,MD,null,"Address Match : 001j000000y9OQtAAM
Phone Match : 001j000000y9OQtAAM
Website Match : 001j000000y9OQtAAM",null,false,10720 Guilford Rd,null,null,"10720 Guilford Rd
Jessup, MD 20794",MD,null,null,null,null,http://www.bobsbmw.com/,10720 guilford road,null,1256,+1 (301) 497-8949,United States,Bob's BMW,20794,finished,3014978949
null,United States,Pensacola,32505,FL,null,"Address Match : 001j000000w2MSkAAM
Phone Match : 001j000000w2MSkAAM
Website Match : 001j000000w2MSkAAM",null,false,6330 Pensacola Boulevard,null,null,"6330 Pensacola Boulevard
Pensacola, FL 32505",FL,null,null,null,null,http://www.bmwmcpensacola.com/,6330 pensacola boulevard,null,1135,+1 (850) 466-5324,United States,BMW Motorcycles of Pensacola,32505,finished,8504665324
null,United States,Gaithersburg,20879,MD,null,"Address Match : 001j00000170PEhAAM
Phone Match : 001j00000170PEhAAM",null,false,7830 Airpark Rd,null,null,"7830 Airpark Rd
Gaithersburg, MD 20879",MD,null,null,null,null,http://www.battley.com/,7830 airpark road,null,1255,+1 (301) 948-4581,United States,Battley Cycles,20879,finished,3019484581
null,Canada,Saskatoon,S7K5W3,SK,null,"Address Match : 001j000000NmaqhAAB
Phone Match : 001j000000NmaqhAAB",null,null,2634 Faithfull Avenue,null,null,"2634 Faithfull Avenue, Saskatoon, SK S7K 5W3",SK,null,null,null,null,http://www.ffunmotorsports.com,2634 faithfull avenue,null,2640,306-934-3717,Canada,European Motorrad,S7K 5W3,finished,3069343717
null,United States,Williamsville,14221,NY,null,"Address Match : 001j000000NmZyMAAV
Phone Match : 001j000000NmZyMAAV
Website Match : 001j000000aEdEtAAK",null,false,8215 Main St,null,null,"8215 Main St
Williamsville, NY 14221",NY,null,null,null,null,,8215 main street,null,1353,+1 (716) 505-2100,United States,Towne BMW Motorcycles,14221,finished,7165052100
null,United States,Fort Collins,80524,CO,null,"Phone Match : 001j000000Q6kvKAAR
Website Match : 001j000000Q6kvKAAR",null,false,1303 SW Frontage Rd,null,null,"1303 SW Frontage Rd
Fort Collins, CO 80524",CO,null,null,null,null,http://www.coloradoeuro.com/,1303 sw frontage road,null,1232,+1 (970) 679-1600,United States,Northern Colorado Powersports,80524,finished,9706791600
null,United States,Denton,76205,TX,null,"Address Match : 001j000000VuGH3AAN
Phone Match : 001j000000VuGH3AAN",null,false,521 Acme St,null,null,"521 Acme St
Denton, TX 76205",TX,null,null,null,null,http://www.bmwmotorcyclesofdenton.com/,521 acme street,null,1155,+1 (940) 387-3885,United States,BMW Motorcycles of Denton,76205,finished,9403873885
null,Canada,Toronto,M4M1B5,ON,null,"Address Match : 001j000000NmiH7AAJ
Website Match : 001j000000NmiH7AAJ",null,null,11 Sunlight Park Road,null,null,"11 Sunlight Park Road, Toronto, ON M4M 1B5",ON,null,null,null,null,http://www.bmwtoronto.ca,11 sunlight park road,null,2629,416-623-4269,Canada,BMW Toronto,M4M 1B5,finished,4166234269
null,United States,Eugene,97402,OR,null,"Address Match : 001j0000011Qn2iAAC
Website Match : 001j0000011Qn2iAAC",null,false,2891 W 11th Ave,null,null,"2891 W 11th Ave
Eugene, OR 97402",OR,null,null,null,null,http://www.emcwor.com/,2891 west 11th avenue,null,1218,+1 (541) 338-0269,United States,"BMW Motorcycles of Western Oregon,",97402,finished,5413380269
null,United States,Beaver Dam,53916,WI,null,"Address Match : 001j00000170PJeAAM
Phone Match : 001j00000170PJeAAM",null,false,N8131 Kellom Rd,null,null,"N8131 Kellom Rd
Beaver Dam, WI 53916",WI,null,null,null,null,http://www.mischlersbmw.com/,n8131 kellom road,null,1297,+1 (920) 887-8425,United States,"Mischler's Harley-Davidson, BMW Limited Liability Company",53916,finished,9208878425
null,United States,Katy,77450,TX,null,"Phone Match : 001j000000VuGLMAA3
Website Match : 001j000000VuGLMAA3",null,false,22515 Katy Fwy,null,null,"22515 Katy Fwy
Katy, TX 77450",TX,null,null,null,null,http://www.wildwesthonda.com/,22515 katy fwy,null,1392,+1 (281) 392-8850,United States,Wild West Honda,77450,finished,2813928850
